1,34.604,0,2
1,34.57,0.76195,3
1,34.506,1.57,4
1,34.417,2.4169,5
1,34.307,3.2964,6
1,34.179,4.2033,7
1,34.035,5.1332,8
1,33.877,6.0826,9
1,33.708,7.0483,10
2,23.892,50,10
1,33.53,8.0276,11
2,23.893,49.227,11
3,33.26,50,11
1,33.343,9.0185,12
2,23.895,48.398,12
3,33.246,49.317,12
1,33.148,10.019,13
2,23.897,47.522,13
3,33.221,48.654,13
1,32.948,11.028,14
2,23.9,46.606,14
3,33.185,48.008,14
1,32.742,12.043,15
2,23.903,45.657,15
3,33.141,47.376,15
1,32.531,13.064,16
2,23.907,44.68,16
3,33.09,46.757,16
1,32.317,14.09,17
2,23.911,43.679,17
3,33.032,46.148,17
4,11.679,0,17
1,32.1,15.121,18
2,23.915,42.659,18
3,32.969,45.547,18
4,11.731,0.74543,18
5,27.024,0,18
1,31.879,16.154,19
2,23.92,41.621,19
3,32.901,44.954,19
5,27.036,0.74662,19
1,31.656,17.19,20
2,23.924,40.569,20
3,32.83,44.367,20
5,27.058,1.5265,20
6,27.859,50,20
1,31.431,18.229,21
2,23.929,39.506,21
3,32.755,43.785,21
5,27.089,2.3345,21
6,27.843,49.175,21
1,31.204,19.27,22
2,23.934,38.432,22
3,32.677,43.208,22
5,27.127,3.166,22
6,27.812,48.252,22
1,30.975,20.312,23
2,23.94,37.35,23
3,32.597,42.634,23
5,27.172,4.0174,23
6,27.771,47.245,23
1,30.745,21.356,24
2,23.945,36.261,24
3,32.515,42.063,24
5,27.222,4.8856,24
6,27.721,46.168,24
7,32.248,50,24
1,30.514,22.401,25
2,23.95,35.165,25
3,32.431,41.495,25
5,27.277,5.7679,25
6,27.664,45.031,25
7,32.228,49.321,25
8,22.776,50,25
1,30.282,23.447,26
2,23.956,34.065,26
3,32.345,40.929,26
5,27.336,6.6621,26
6,27.602,43.844,26
7,32.191,48.665,26
8,22.781,49.23,26
9,19.667,0,26
1,30.049,24.494,27
2,23.962,32.96,27
3,32.258,40.365,27
5,27.398,7.5663,27
6,27.537,42.615,27
7,32.14,48.03,27
8,22.791,48.408,27
9,19.674,0.70821,27
1,29.815,25.541,28
2,23.967,31.852,28
3,32.17,39.803,28
5,27.463,8.4789,28
6,27.469,41.351,28
7,32.077,47.411,28
8,22.803,47.542,28
9,19.688,1.4173,28
1,29.581,26.589,29
2,23.973,30.741,29
3,32.081,39.242,29
5,27.531,9.3986,29
6,27.4,40.056,29
7,32.004,46.806,29
8,22.819,46.638,29
9,19.706,2.1273,29
1,29.345,27.638,30
2,23.979,29.627,30
3,31.991,38.682,30
5,27.601,10.324,30
6,27.331,38.737,30
7,31.921,46.214,30
8,22.838,45.702,30
9,19.73,2.8378,30
1,29.11,28.687,31
2,23.985,28.511,31
3,31.901,38.123,31
5,27.673,11.255,31
6,27.262,37.395,31
7,31.838,45.63,31
8,22.859,44.74,31
9,19.757,3.5489,31
10,17.325,50,31
1,28.874,29.736,32
2,23.99,27.393,32
3,31.81,37.565,32
5,27.746,12.19,32
6,27.193,36.036,32
7,31.748,45.055,32
8,22.882,43.756,32
9,19.787,4.2605,32
