320.29,113.08,-0.68589,1,1
319.99,113.23,-0.75198,1,1
319.61,113.36,-0.94843,1,1
319.95,112.97,-0.68589,2,1
319.17,113.45,-1.1124,1,1
319.65,113.12,-0.75162,2,1
318.67,113.52,-1.2491,1,1
319.27,113.25,-0.94813,2,1
318.12,113.55,-1.3611,1,1
318.83,113.35,-1.1137,2,1
317.54,113.56,-1.4515,1,1
318.33,113.44,-1.2532,2,1
316.93,113.53,-1.5234,1,1
317.78,113.52,-1.3708,2,1
316.29,113.5,-1.5985,1,1
317.19,113.58,-1.4698,2,1
315.64,113.45,-1.6399,1,1
316.57,113.63,-1.5533,2,1
314.97,113.37,-1.672,1,1
315.92,113.67,-1.6236,2,1
1.0702,150.79,0.58067,3,5
314.29,113.26,-1.6961,1,1
315.25,113.71,-1.6828,2,1
1.5425,151.05,1.1809,3,1
313.6,113.13,-1.7137,1,1
314.55,113.74,-1.7327,2,1
2.3183,151.26,1.9394,3,1
312.91,113,-1.7255,1,1
313.84,113.76,-1.7748,2,1
3.3497,151.44,2.5786,3,1
312.21,112.9,-1.7627,1,1
313.12,113.78,-1.8102,2,1
4.5966,151.6,3.1172,3,1
311.49,112.83,-1.796,1,1
312.38,113.79,-1.8401,2,1
6.0249,151.73,3.5709,3,1
310.76,112.78,-1.8254,1,1
311.64,113.8,-1.8652,2,1
7.6063,151.84,3.9533,3,1
310.02,112.74,-1.8509,1,1
310.88,113.81,-1.8864,2,1
9.3165,151.93,4.2755,3,1
309.27,112.72,-1.873,1,1
310.12,113.81,-1.9043,2,1
11.135,152.01,4.5469,3,1
308.51,112.71,-1.892,1,1
309.35,113.82,-1.9193,2,1
13.045,152.07,4.7757,3,1
0.84229,151.05,0.58067,4,1
307.75,112.7,-1.9083,1,1
308.58,113.82,-1.932,2,1
15.033,152.12,4.9684,3,1
1.163,151.03,0.80188,4,1
306.98,112.7,-1.9222,1,1
307.8,113.82,-1.9427,2,1
17.085,152.16,5.1307,3,1
1.5592,151.01,0.99048,4,1
306.21,112.7,-1.9341,1,1
307.02,113.82,-1.9517,2,1
19.192,152.19,5.2675,3,1
2.019,151,1.1494,4,1
305.43,112.7,-1.9445,1,1
306.24,113.81,-1.9593,2,1
21.345,152.21,5.3828,3,1
2.5323,150.98,1.2833,4,1
304.65,112.7,-1.9532,1,1
305.45,113.81,-1.9657,2,1
23.537,152.22,5.4799,3,1
3.0907,150.97,1.3961,4,1
303.86,112.7,-1.9606,1,1
304.66,113.8,-1.9711,2,1
25.762,152.23,5.5617,3,1
3.6872,150.96,1.4912,4,1
303.08,112.71,-1.9668,1,1
303.87,113.8,-1.9756,2,1
28.014,152.24,5.6306,3,1
4.3157,150.96,1.5713,4,1
302.29,112.71,-1.972,1,1
303.08,113.79,-1.9794,2,1
30.29,152.23,5.6887,3,1
4.9712,150.95,1.6387,4,1
301.5,112.71,-1.9764,1,1
302.29,113.79,-1.9826,2,1
32.585,152.23,5.7376,3,1
5.6495,150.94,1.6956,4,1
300.71,112.72,-1.9801,1,1
301.49,113.78,-1.9854,2,1
34.896,152.22,5.7789,3,1
6.3469,150.94,1.7435,4,1
299.91,112.72,-1.9832,1,1
300.7,113.77,-1.9876,2,1
37.222,152.2,5.8136,3,1
7.0604,150.94,1.7839,4,1
299.12,112.73,-1.9859,1,1
299.9,113.77,-1.9896,2,1
39.559,152.19,5.8428,3,1
7.7876,150.93,1.8179,4,1
298.32,112.73,-1.9881,1,1
299.11,113.76,-1.9912,2,1
41.906,152.17,5.8675,3,1
8.5262,150.93,1.8466,4,1
297.53,112.73,-1.9899,1,1
298.31,113.75,-1.9926,2,1
44.261,152.14,5.8882,3,1
9.2745,150.93,1.8707,4,1
296.73,112.74,-1.9915,1,1
297.51,113.74,-1.9937,2,1
